Номер ЖК,Школа,Детский сад,Площадь ЖК,Количество домов в ЖК,Количество квартир в ЖК,Этажность,Расстояние до Центра на авто,До остановки пешком,Отопление,Закрытая территория,Окна с атермальным напылением,Высота потолков,Наличие Студий в ЖК,Парковки,Коммерция,Дворы без машин,"Наличие парка, сквера рядом",Кондиционеры,"Наличие водоема, фонтана",Колич квартир на этаже,"Колясочные, велосипедные",Консьерж,Вход в подъезд без ступеней,Сквозные подъезды,Фитнес-Клуб,Зарядная станция электроавтомобилей,Видеонаблюдение,Класс жилья,Арендный потенциал,Автополив газонов и деревьев,Спортивные площадки и тренажеры,"Краснодар или Адыгея",Трамвай,Поликлиника,Плотность населения
11,до 500м,до 1000м,до 20Га,"2-5","1000-1500",9-16,15-30мин,5-10мин,"Свой котел в квартире",Полностью,Да,"2,5-2,75м",Да,"Подзем есть",Своя в ЖК,Да,"свой парк","Случайно",Нет,4-5,Да,Да,Да,нет,Рядом,Да,"На входах и въездах","Комфорт+",Средний,Да,много,Краснодар,Рядом,"2-4 остановки",активный
12,до 1500м,дальше,"до 30 Га","6-10",1000-1500,16-18,10-15мин,10-15мин,"Своя котельная в ЖК","Закр. от машин",Нет,"2,85-3,00",Нет,Стилобаты,"Рядом много",Нет,рядом,"В корзинах",Свой,6-8,Нет,"Консьерж-сервис премиум",Нет,нет,Рядом,Да,"На входах и въездах",Комфорт,Высокий,Нет,круто,Адыгея,"10-20мин","2-4 остановки",мегаквартал
13,"до 1000м","до 1500м","Более 50 Га","11-20","1500-2500",19-21,дольше,дольше,"Цетр.теплосеть",Открытая,Да,"2,8-2,85",Да,"Многоуровневый паркинг","Рядом ТРЦ",Да,далеко,"Сплит-румы",Нет,9-10,Да,Да,Нет,Да,"10-15 минут пешком",Нет,Полное,Бизнес,Низкий,Да,мало,Краснодар,"Скоро будет","В другом районе","тихий уголок"
14,до 500м,до 500м,"до 10Га","2-5",До 300,"3-5","30-60мин","До 5мин","Свой котел в квартире","Закр. от машин",Нет,"2,85-3,00",Нет,"Только наземная","Своя в ЖК",Нет,"свой парк","Капает",Нет,11-14,Нет,Нет,Да,Да,нет,Нет,Эконом,Средний,Да,много,Адыгея,Нет,Рядом,"комфотрный"
15,"до 1000м","до 1000м",до 20Га,"6-10",300-1000,8-9,15-30мин,5-10мин,"Своя котельная в ЖК",Полностью,Да,"2,5-2,75м",Да,"Подзем есть","Рядом много",Да,рядом,"Случайно",Нет,4-5,Да,"Консьерж-сервис премиум",Да,нет,"10-15 минут пешком",Да,"На входах и въездах","Комфорт+",Высокий,Нет,круто,Краснодар,Рядом,"2-4 остановки",активный
16,"до 1500м",дальше,"до 30 Га","11-20",1000-1500,16-18,10-15мин,"10-15мин","Цетр.теплосеть","Закр. от машин",Нет,"2,8-2,85",Нет,Стилобаты,"Рядом ТРЦ",Нет,далеко,"В корзинах",Нет,6-8,Да,Да,Нет,Да,нет,Полное,Комфорт,Средний,Да,мало,Адыгея,"10-20мин","В другом районе",мегаквартал
17,до 500м,до 500м,"до 40 Га","2-5","1500-2500",9-16,15-30мин,5-10мин,"Свой котел в квартире",Открытая,Да,"2,85-3,00",Да,"Многоуровневый паркинг","Своя в ЖК",Да,"свой парк","Сплит-румы",Нет,9-10,Да,"Консьерж-сервис премиум",Да,нет,Рядом,Да,"Умные камеры","Комфорт+",Высокий,Нет,круто,Краснодар,Рядом,"Скоро будет",активный
18,"до 1000м","до 1500м","до 10Га","6-10",До 300,"3-5","30-60мин","До 5мин","Цетр.теплосеть",Полностью,Нет,"2,5-2,75м",Нет,"Только наземная","Рядом много",Нет,рядом,"Капает",Нет,11-14,Нет,Нет,Да,Да,нет,Нет,Эконом,Низкий,Да,мало,Адыгея,Нет,Рядом,"тихий уголок"
19,"до 1500м",дальше,до 20Га,"11-20",300-1000,8-9,10-15мин,"10-15мин","Своя котельная в ЖК","Закр. от машин",Да,"2,8-2,85",Да,"Подзем есть","Рядом ТРЦ",Да,далеко,"Случайно",Нет,6-8,Да,Да,Нет,Да,"10-15 минут пешком",Да,Полное,"Комфорт+",Средний,Нет,круто,Краснодар,"10-20мин","2-4 остановки",активный
20,до 500м,"до 1000м","до 30 Га","2-5",1000-1500,16-18,15-30мин,5-10мин,"Свой котел в квартире",Открытая,Нет,"2,85-3,00",Нет,Стилобаты,"Своя в ЖК",Нет,"свой парк","В корзинах",Нет,9-10,Нет,"Консьерж-сервис премиум",Да,нет,Рядом,Да,"На входах и въездах",Комфорт,Высокий,Да,много,Адыгея,Рядом,"В другом районе",мегаквартал
